iteration,primal_norm,dual_norm,centering_residual,complementarity,step_size_guess,x_mean,s_mean,y_mean,problem_size_n,problem_size_m,direction_guess,problem_id
0,19.527798034321215,24.725652493828548,0.0,20.0,1.0,1.0,1.0,1.0,20,10,1,0
1,20.20952346243434,25.02616454770554,0.8794848371397997,21.566778249330923,0.9,1.0376410615051592,1.0376410615051592,1.0350458592722598,20,10,0,0
2,20.947633645288285,25.38174161600312,1.7546100914268432,23.26018601512998,0.81,1.0753183115985676,1.0753183115985676,1.0719154890034484,20,10,0,0
3,21.74282315558572,25.79435986216042,2.631562175347686,25.08559404042548,0.7290000000000001,1.1130379467139513,1.1130379467139513,1.110701012708922,20,10,0,0
4,22.596059701263567,26.266109789877486,3.5162838933741867,27.04947200891735,0.6561000000000001,1.1508068021906932,1.1508068021906932,1.1515001193178414,20,10,0,0
5,23.508582865992558,26.799190310964512,4.414545510083017,29.159477401078078,0.5904900000000002,1.188632336394684,1.188632336394684,1.1944163070291403,20,10,0,0
6,24.481901892723048,27.39590524402153,5.332016590927804,31.424557168577365,0.5314410000000002,1.2265226170376753,1.2265226170376753,1.2395591438450244,20,10,0,0
7,25.517793153201648,28.058662381758,6.274339448080366,33.85506332213111,0.47829690000000014,1.2644863096024856,1.2644863096024856,1.2870445454234904,20,10,0,0
8,26.618297812738614,28.789975175097243,7.247205069762367,36.46288368752036,0.43046721000000016,1.302532667790434,1.302532667790434,1.336995070941871,20,10,0,0
9,27.785720077739217,29.592466993686127,8.256432476305523,39.26158925771187,0.38742048900000015,1.3406715259159827,1.3406715259159827,1.3895402377155743,20,10,0,0
10,29.02262630925972,30.468877842370897,9.308052525211558,42.26659975781973,0.34867844010000015,1.3789132931817865,1.3789132931817865,1.4448168553701508,20,10,0,0
11,30.33184520082751,31.422073347528034,10.408397276002898,45.49536924633102,0.31381059609000017,1.417268949775205,1.417268949775205,1.5029693804207718,20,10,0,0
12,31.716469152268587,32.455055779781254,11.564196119030704,48.967593803024656,0.28242953648100017,1.4557500447349043,1.4557500447349043,1.5641502921712829,20,10,0,0
13,33.17985692130147,33.57097685227998,12.782679966265675,52.70544360402275,0.25418658283290013,1.4943686955434405,1.4943686955434405,1.6285204909053754,20,10,0,0
14,34.7256375986304,34.773152025927565,14.071694892447507,56.73382196036471,0.22876792454961012,1.5331375894087647,1.5331375894087647,1.6962497194052832,20,10,0,0
15,36.35771592758057,36.06507606255877,15.439826698339301,61.08065420162307,0.2058911320946491,1.5720699862044092,1.5720699862044092,1.767517008898943,20,10,0,0
16,38.08027897354476,37.45043959072104,16.896537941467628,65.77720962396033,0.1853020188851842,1.611179723044777,1.611179723044777,1.8425111506049099,20,10,0,0
17,39.89780413955688,38.933146482468196,18.452319041879928,70.85846009660807,0.16677181699666577,1.6504812204784394,1.6504812204784394,1.9214311941157718,20,10,0,0
18,41.815068520441585,40.51733187943264,20.118855120779877,76.36347933641507,0.1500946352969992,1.6899894902887393,1.6899894902887393,2.0044869739354274,20,10,0,0
19,43.83715958782234,42.20738074877511,21.909210269972093,82.33588732171692,0.13508517176729928,1.7297201448972992,1.7297201448972992,2.0918996655637523,20,10,0,0
20,45.969487200726476,44.00794689142689,23.838030983870674,88.82434482972553,0.12157665459056936,1.7696894083722394,1.7696894083722394,2.183902372603959,20,10,0,0
21,48.217796940787125,45.92397236410937,25.921770520357715,95.88310365191981,0.10941898913151243,1.809914129049132,1.809914129049132,2.2807407464536658,20,10,0,0
22,50.5881847765033,47.960707311477385,28.178936002268475,103.5726186762191,0.0984770902183612,1.8504117937788926,1.8504117937788926,2.3826736402305655,20,10,0,0
23,53.087113067242434,50.12373023461091,30.63036014131751,111.9602287304617,0.08862938119652508,1.891200543823031,1.891200543823031,2.4899737986778234,20,10,0,0
24,55.721427924346926,52.418968746766204,33.2994995774086,121.12091386717316,0.07976644307687257,1.932299192422932,1.932299192422932,2.602928585893282,20,10,0,0
25,58.49837795362692,54.85272088699591,36.21276199707358,131.13813764400376,0.07178979876918531,1.9737272440761842,1.9737272440761842,2.721840752830375,20,10,0,0
26,61.42563441055024,57.43167707744674,39.399864444425695,142.1047839278172,0.06461081889226679,2.0155049155594003,2.0155049155594003,2.8470292466278044,20,10,0,0
27,64.51131280649385,60.16294282148523,42.89422558433651,154.1241988346683,0.05814973700304011,2.0576531587435496,2.0576531587435496,2.9788300639395784,20,10,0,0
28,67.7639960114572,63.05406224799461,46.73339513497116,167.31134962557886,0.0523347633027361,2.1001936852545473,2.1001936852545473,3.117597150557551,20,10,0,0
29,71.19275890563962,66.11304261292872,50.95952426438672,181.79411372334005,0.04710128697246249,2.1431489930387535,2.1431489930387535,3.263703349745208,20,10,0,0
0,23.3945284666783,21.250204671715,0.0,20.0,1.0,1.0,1.0,1.0,20,10,1,1
1,23.81663647399343,21.512079315965764,0.8062696931651329,21.294800657793942,0.9,1.0312410884483743,1.0312410884483743,1.0455968424664834,20,10,0,1
2,24.281089616640664,21.820627415635855,1.6018018915622496,22.702171901191562,0.81,1.0629843518353184,1.0629843518353184,1.0922234783169178,20,10,0,1
3,24.78953415338676,22.177406543116753,2.3921178757354067,24.22634306568173,0.7290000000000001,1.0952407735755811,1.0952407735755811,1.1399060214753571,20,10,0,1
4,25.343772734553223,22.584076583693825,3.182311299227753,25.872384514931262,0.6561000000000001,1.1280233568115985,1.1280233568115985,1.1886726275369637,20,10,0,1
5,25.9457652930766,23.042399802796446,3.977106400723739,27.64627239307752,0.5904900000000002,1.1613471415000771,1.1613471415000771,1.2385535027478678,20,10,0,1
6,26.597630835068966,23.55424276214848,4.780919277687095,29.554962784748085,0.5314410000000002,1.1952292286758845,1.1952292286758845,1.28958091931892,20,10,0,1
7,27.301650165816515,24.121580098104243,5.597923419422448,31.606476135241493,0.47829690000000014,1.229688811915722,1.229688811915722,1.341789237012502,20,10,0,1
8,28.060269583338187,24.7465001249794,6.43212080977415,33.809992908459655,0.43046721000000016,1.2647472160509357,1.2647472160509357,1.3952149309649045,20,10,0,1
9,28.876105567672383,25.43121218175396,7.287420085849279,36.175961597418876,0.38742048900000015,1.3004279432056742,1.3004279432056742,1.4498966257297783,20,10,0,1
10,29.751950490149355,26.17805560520633,8.167723469503455,38.71622035330161,0.34867844010000015,1.336756726263452,1.336756726263452,1.5058751355508866,20,10,0,1
